Failed to mmap 2M pages for DSA allocator, try to mmap 4K pages
There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0
·>  engine0.1, group 0
·>  engine0.2, group 0
·>  engine0.3, group 0

DSA configures:
+  Recycle window enable, window len = 25
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
+  Contiguous allocation enable(enable huge-page)
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = batch32, op = memcpy, array_len = 4GB
             : op_cnt = 1476349952 , op_bytes = 708669603840
             : page_fault_resolving = 0 , batch_fail_cnt = 0
             : wq = wq0.0, allocator used = 0.242 MB
CPU: transfer_size =   64 B | do_time =  0.01 us | do_speed =  6015 MB/s | REPEAT = 10
CPU: transfer_size =  128 B | do_time =  0.02 us | do_speed =  6887 MB/s | REPEAT = 10
CPU: transfer_size =  256 B | do_time =  0.03 us | do_speed =  7125 MB/s | REPEAT = 10
CPU: transfer_size =  512 B | do_time =  0.07 us | do_speed =  7328 MB/s | REPEAT = 10
CPU: transfer_size =    1KB | do_time =  0.13 us | do_speed =  7391 MB/s | REPEAT = 10
CPU: transfer_size =    2KB | do_time =  0.26 us | do_speed =  7443 MB/s | REPEAT = 10
CPU: transfer_size =    4KB | do_time =  0.53 us | do_speed =  7435 MB/s | REPEAT = 10
CPU: transfer_size =    8KB | do_time =  1.05 us | do_speed =  7446 MB/s | REPEAT = 10
CPU: transfer_size =   16KB | do_time =  2.10 us | do_speed =  7450 MB/s | REPEAT = 10
CPU: transfer_size =   32KB | do_time =  4.19 us | do_speed =  7453 MB/s | REPEAT = 10
CPU: transfer_size =   64KB | do_time =  8.38 us | do_speed =  7455 MB/s | REPEAT = 10
CPU: transfer_size =  128KB | do_time = 16.76 us | do_speed =  7456 MB/s | REPEAT = 10
CPU: transfer_size =  256KB | do_time = 33.54 us | do_speed =  7455 MB/s | REPEAT = 10
CPU: transfer_size =  512KB | do_time = 67.07 us | do_speed =  7455 MB/s | REPEAT = 10
CPU: transfer_size =    1MB | do_time = 134.15 us | do_speed =  7454 MB/s | REPEAT = 10

method = batch32, op = compval, array_len = 4GB
transfer_size =   64 B | do_time =  0.05 us | do_speed =  1170 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.05 us | do_speed =  2375 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.05 us | do_speed =  4886 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.05 us | do_speed = 10560 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.03 us | do_speed = 28056 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.07 us | do_speed = 29223 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.13 us | do_speed = 29738 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.26 us | do_speed = 29981 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.52 us | do_speed = 30110 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.04 us | do_speed = 30180 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.07 us | do_speed = 30212 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.14 us | do_speed = 30225 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.27 us | do_speed = 30229 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.54 us | do_speed = 30232 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.07 us | do_speed = 30238 MB/s | REPEAT = 10
DSAbatch: to_cpu = 0, to_dsa = 1476349952, align_sum = 0
DSAbatch_task: batch_capacity = 80 , batch_siz = 32
             : op_cnt = 1476349952 , op_bytes = 708669603840
             : page_fault_resolving = 0 , batch_fail_cnt = 0
             : wq = wq0.0, allocator used = 0.242 MB
CPU: transfer_size =   64 B | do_time =  0.01 us | do_speed =  6028 MB/s | REPEAT = 10
CPU: transfer_size =  128 B | do_time =  0.02 us | do_speed =  7921 MB/s | REPEAT = 10
CPU: transfer_size =  256 B | do_time =  0.03 us | do_speed =  8701 MB/s | REPEAT = 10
CPU: transfer_size =  512 B | do_time =  0.05 us | do_speed =  9021 MB/s | REPEAT = 10
CPU: transfer_size =    1KB | do_time =  0.11 us | do_speed =  9134 MB/s | REPEAT = 10
CPU: transfer_size =    2KB | do_time =  0.21 us | do_speed =  9148 MB/s | REPEAT = 10
CPU: transfer_size =    4KB | do_time =  0.42 us | do_speed =  9234 MB/s | REPEAT = 10
CPU: transfer_size =    8KB | do_time =  0.84 us | do_speed =  9264 MB/s | REPEAT = 10
CPU: transfer_size =   16KB | do_time =  1.68 us | do_speed =  9283 MB/s | REPEAT = 10
CPU: transfer_size =   32KB | do_time =  3.37 us | do_speed =  9282 MB/s | REPEAT = 10
CPU: transfer_size =   64KB | do_time =  6.74 us | do_speed =  9279 MB/s | REPEAT = 10
CPU: transfer_size =  128KB | do_time = 13.47 us | do_speed =  9281 MB/s | REPEAT = 10
CPU: transfer_size =  256KB | do_time = 26.93 us | do_speed =  9282 MB/s | REPEAT = 10
CPU: transfer_size =  512KB | do_time = 53.87 us | do_speed =  9282 MB/s | REPEAT = 10
CPU: transfer_size =    1MB | do_time = 107.73 us | do_speed =  9282 MB/s | REPEAT = 10

